type,dates,error
Missed,2000-04-23 11:59:40.465528,1
Missed,2001-10-06 23:15:51.743910,1
Missed,2002-03-17 23:19:33.864771,1
Missed,2002-11-22 16:40:42.905318,1
Missed,2003-12-03 06:51:51.571917,1
Missed,2005-03-19 05:44:38.847700,1
Missed,2006-10-29 12:35:53.554173,1
Missed,2007-04-14 23:29:06.759672,1
Missed,2007-07-28 13:57:53.049391,1
Missed,2008-02-24 00:00:02.975075,1
Missed,2008-10-10 09:14:57.741469,1
Missed,2009-03-21 14:21:52.201736,1
Missed,2009-05-03 13:08:36.062907,1
Missed,2010-05-16 07:13:05.641507,1
Missed,2010-10-10 05:32:06.714545,1
Missed,2012-09-01 09:46:51.756159,1
Missed,2012-10-12 17:01:36.207662,1
Missed,2013-04-06 04:24:14.979530,1
Missed,2013-09-14 12:14:16.067942,1
Missed,2014-03-23 15:32:52.403614,1
Missed,2014-07-12 00:20:55.295559,1
Missed,2015-05-30 19:34:15.070409,1
Missed,2016-05-21 17:45:59.638950,1
Missed,2016-10-28 21:47:22.019704,1
Missed,2018-10-20 23:50:12.566217,1
Missed,2018-11-17 00:36:53.226512,1
Missed,2023-03-24 11:56:37.036704,1
Missed,2023-02-11 10:32:01.146975,1
Missed,2024-01-21 07:54:37.595319,1
Extra,2017-12-20 09:24:15.000000,1
Extra,2020-10-22 09:00:14.000000,1
Found,2005-10-25 09:33:22.000000,1
Found,2022-11-30 08:59:15.000000,1
Missed,2001-10-06 23:15:51.743910,2
Missed,2005-03-19 05:44:38.847700,2
Missed,2007-04-14 23:29:06.759672,2
Missed,2008-02-24 00:00:02.975075,2
Missed,2008-10-10 09:14:57.741469,2
Missed,2018-11-17 00:36:53.226512,2
Missed,2023-03-24 11:56:37.036704,2
Missed,2023-02-11 10:32:01.146975,2
Missed,2024-01-21 07:54:37.595319,2
Extra,2010-10-27 06:21:00.000000,2
Extra,2006-01-04 09:19:08.000000,2
Extra,2020-09-29 08:33:28.000000,2
Extra,2020-01-22 09:17:00.000000,2
Extra,2020-10-22 09:00:14.000000,2
Extra,2017-12-20 09:24:15.000000,2
Extra,2007-12-11 15:28:44.000000,2
Extra,2000-04-19 10:14:45.000000,2
Extra,2016-01-06 09:17:37.000000,2
Extra,2005-09-30 09:33:09.000000,2
Extra,2012-10-22 09:01:36.000000,2
Extra,2012-01-04 08:53:38.000000,2
Extra,2003-02-19 09:41:42.000000,2
Extra,2002-10-24 09:37:39.000000,2
Extra,1999-07-07 09:38:07.000000,2
Extra,2006-06-07 09:03:02.000000,2
Found,2000-04-17 14:00:53.000000,2
Found,2002-03-20 10:54:53.000000,2
Found,2002-11-27 09:29:03.000000,2
Found,2003-12-10 09:28:23.000000,2
Found,2005-10-25 09:33:22.000000,2
Found,2006-11-02 10:13:17.000000,2
Found,2007-08-02 09:05:27.000000,2
Found,2009-03-17 10:51:23.000000,2
Found,2009-05-06 09:29:17.000000,2
Found,2010-05-19 06:37:09.000000,2
Found,2010-10-14 10:06:20.000000,2
Found,2012-09-05 08:12:01.000000,2
Found,2012-10-16 08:56:19.000000,2
Found,2013-04-10 09:05:09.000000,2
Found,2013-09-18 09:22:03.000000,2
Found,2014-03-28 09:17:06.000000,2
Found,2014-07-14 09:06:09.000000,2
Found,2015-06-03 09:10:41.000000,2
Found,2016-05-25 11:29:25.000000,2
Found,2016-11-02 10:33:12.000000,2
Found,2018-10-24 09:18:57.000000,2
Found,2022-11-30 08:59:15.000000,2
Missed,2001-10-06 23:15:51.743910,3
Missed,2005-03-19 05:44:38.847700,3
Missed,2007-04-14 23:29:06.759672,3
Missed,2008-02-24 00:00:02.975075,3
Missed,2008-10-10 09:14:57.741469,3
Missed,2018-11-17 00:36:53.226512,3
